SMILES,NAME,NODES,SOLUTION_TIME,NUM_ROUTES,FINAL_NUM_RXN_MODEL_CALLS,final_num_value_model_calls
CC(C)(C)Cn1cc(-c2ccc(C(=O)NCCc3ccc(S(C)(=O)=O)cc3)cc2)c(N)n1,GNN-NN-Split-MAX-3.0,9455,430,0,430 (NOTE: this was less than the maximum budget),1958
CCOC(=O)c1cn(Cc2cccc(F)c2)c2sc(-c3ccc(OC)cc3)c(CN(C)Cc3ccccc3)c2c1=O,GNN-NN-Split-MAX-3.0,10228,inf,0,500,2758
CC(C)(C)Cn1cc(-c2ccc(C(=O)NCCc3ccc(S(C)(=O)=O)cc3)cc2)c(N)n1,GNN-NN-Split-MAX-10.0,4944,199,0,199 (NOTE: this was less than the maximum budget),1454
COc1ccc(C23Oc4cc(OC)cc(OC)c4C2(O)C(O)C(C(=O)NOCCO)C3c2ccccc2)cc1,GNN_NNSplitSingleAVGSCore-10.0,25869,inf,0,500,10345
CCOC(=O)c1cn(Cc2cccc(F)c2)c2sc(-c3ccc(OC)cc3)c(CN(C)Cc3ccccc3)c2c1=O,GNN-NN-Split-MAX-10.0,4599,212,0,212 (NOTE: this was less than the maximum budget),1520
CC(C)(C)Cn1cc(-c2ccc(C(=O)NCCc3ccc(S(C)(=O)=O)cc3)cc2)c(N)n1,GNN-NN-Split-AVG-3.0,9205,420,0,420 (NOTE: this was less than the maximum budget),1891
CC(C)(C)Cn1cc(-c2ccc(C(=O)NCCc3ccc(S(C)(=O)=O)cc3)cc2)c(N)n1,GNN-NN-Split-AVG-10.0,4963,200,0,200 (NOTE: this was less than the maximum budget),1458
CCN1C(=O)C(=CC=C2CCCN2C)OC1=S,constant-0,7415,inf,0,500,562
CCOC(=O)c1cn(Cc2cccc(F)c2)c2sc(-c3ccc(OC)cc3)c(CN(C)Cc3ccccc3)c2c1=O,GNN-NN-Split-AVG-3.0,10237,inf,0,500,2767
CCN1C(=O)C(=CC=C2CCCN2C)OC1=S,SAscore-linear-0.3,7209,inf,0,500,1299
CCN1C(=O)C(=CC=C2CCCN2C)OC1=S,SAscore-linear-1.0,7302,inf,0,500,2332
CCN1C(=O)C(=CC=C2CCCN2C)OC1=S,GNNEstimatorMAXScore-3.0,7269,inf,0,500,2288
CCOC(=O)c1cn(Cc2cccc(F)c2)c2sc(-c3ccc(OC)cc3)c(CN(C)Cc3ccccc3)c2c1=O,GNN-NN-Split-AVG-10.0,4576,210,0,210 (NOTE: this was less than the maximum budget),1515
CC(C)(NCC(O)C(Cc1ccccc1)NC(=O)Cc1ccccc1)c1ccccc1,constant-0,6637,188,0,188 (NOTE: this was less than the maximum budget),290
CC(C)(NCC(O)C(Cc1ccccc1)NC(=O)Cc1ccccc1)c1ccccc1,SAscore-linear-0.3,5809,178,0,178 (NOTE: this was less than the maximum budget),1022
CC(C)(NCC(O)C(Cc1ccccc1)NC(=O)Cc1ccccc1)c1ccccc1,SAscore-linear-1.0,4425,126,0,126 (NOTE: this was less than the maximum budget),1598
CC(C)(NCC(O)C(Cc1ccccc1)NC(=O)Cc1ccccc1)c1ccccc1,GNNEstimatorMAXScore-3.0,804,19,0,19 (NOTE: this was less than the maximum budget),260
CC(C)(NCC(O)C(Cc1ccccc1)NC(=O)Cc1ccccc1)c1ccccc1,GNNEstimatorMAXScore-10.0,1216,27,0,27 (NOTE: this was less than the maximum budget),465
CC(C)(NCC(O)C(Cc1ccccc1)NC(=O)Cc1ccccc1)c1ccccc1,GNNEstimatorAVGScore-3.0,804,19,0,19 (NOTE: this was less than the maximum budget),260
CC(C)(NCC(O)C(Cc1ccccc1)NC(=O)Cc1ccccc1)c1ccccc1,GNNEstimatorAVGScore-10.0,1448,33,0,33 (NOTE: this was less than the maximum budget),548
CC(C)(NCC(O)C(Cc1ccccc1)NC(=O)Cc1ccccc1)c1ccccc1,GNN_NNSplitSingleMAXScore-3.0,804,19,0,19 (NOTE: this was less than the maximum budget),260
CCN1C(=O)C(=CC=C2CCCN2C)OC1=S,GNNEstimatorMAXScore-10.0,6933,inf,0,500,2207
CC(C)(NCC(O)C(Cc1ccccc1)NC(=O)Cc1ccccc1)c1ccccc1,GNN_NNSplitSingleMAXScore-10.0,1216,27,0,27 (NOTE: this was less than the maximum budget),465
CC(C)(NCC(O)C(Cc1ccccc1)NC(=O)Cc1ccccc1)c1ccccc1,GNN_NNSplitSingleAVGSCore-3.0,804,19,0,19 (NOTE: this was less than the maximum budget),260
CC(C)(NCC(O)C(Cc1ccccc1)NC(=O)Cc1ccccc1)c1ccccc1,GNN_NNSplitSingleAVGSCore-10.0,1216,27,0,27 (NOTE: this was less than the maximum budget),465
CC(C)(NCC(O)C(Cc1ccccc1)NC(=O)Cc1ccccc1)c1ccccc1,GNN-NN-Split-MAX-3.0,804,19,0,19 (NOTE: this was less than the maximum budget),260
